url_rid,clean_url,date
Bohemian_Rhapsody_Queen,"https://www.youtube.com/watch?v=fJ9rUzIMcZQ","2008-08-01"
November_Rain_GunsRoses,"https://www.youtube.com/watch?v=8SbUC-UaAxE","2009-12-25"
